case,algo,timestep,n_seeds,success_rate_mean,success_rate_std,success_rate_ci95,avg_return_mean,avg_return_std,avg_return_ci95,hole_rate_mean,hole_rate_std,hole_rate_ci95,avg_episode_length_mean,avg_episode_length_std,avg_episode_length_ci95
case1_deterministic_4x4,DQN,2000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
case1_deterministic_4x4,DQN,4000,5,0.6,0.5477225575051662,0.480099989585503,0.6,0.5477225575051662,0.480099989585503,0.0,0.0,0.0,43.6,51.485920405485615,45.129399021037266
case1_deterministic_4x4,DQN,6000,5,0.6,0.5477225575051662,0.480099989585503,0.6,0.5477225575051662,0.480099989585503,0.0,0.0,0.0,43.6,51.485920405485615,45.129399021037266
case1_deterministic_4x4,DQN,8000,5,0.4,0.5477225575051662,0.480099989585503,0.4,0.5477225575051662,0.480099989585503,0.0,0.0,0.0,62.4,51.485920405485615,45.129399021037266
case1_deterministic_4x4,DQN,10000,5,0.6,0.5477225575051662,0.480099989585503,0.6,0.5477225575051662,0.480099989585503,0.0,0.0,0.0,43.6,51.485920405485615,45.129399021037266
case1_deterministic_4x4,DQN,12000,5,0.8,0.44721359549995804,0.392,0.8,0.44721359549995804,0.392,0.0,0.0,0.0,24.8,42.03807797699606,36.848000000000006
case1_deterministic_4x4,DQN,14000,5,0.8,0.44721359549995804,0.392,0.8,0.44721359549995804,0.392,0.0,0.0,0.0,24.8,42.03807797699606,36.848000000000006
case1_deterministic_4x4,DQN,16000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,DQN,18000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,DQN,20000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,DQN,22000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,DQN,24000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,DQN,26000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,DQN,28000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,DQN,30000,5,0.6,0.5477225575051662,0.480099989585503,0.6,0.5477225575051662,0.480099989585503,0.0,0.0,0.0,43.6,51.485920405485615,45.129399021037266
case1_deterministic_4x4,PPO,2000,5,0.6,0.5477225575051662,0.480099989585503,0.6,0.5477225575051662,0.480099989585503,0.0,0.0,0.0,43.6,51.485920405485615,45.129399021037266
case1_deterministic_4x4,PPO,4000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,PPO,6000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,PPO,8000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,PPO,10000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,PPO,12000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,PPO,14000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,PPO,16000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,PPO,18000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,PPO,20000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,PPO,22000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,PPO,24000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,PPO,26000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,PPO,28000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,PPO,30000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case2_slippery_4x4,DQN,2000,5,0.16,0.17940875118009156,0.1572587040516359,0.16,0.17940875118009156,0.1572587040516359,0.564,0.4376271243878743,0.38359708758018485,44.958,37.18300579565886,32.59234159820984
case2_slippery_4x4,DQN,4000,5,0.137,0.18212632978237936,0.1596407667232903,0.137,0.18212632978237936,0.1596407667232903,0.45899999999999996,0.44179180617118735,0.38724759211646487,51.053999999999995,45.41373489925708,39.80689375198221
case2_slippery_4x4,DQN,6000,5,0.32999999999999996,0.13693063937629155,0.12002499739637575,0.32999999999999996,0.13693063937629155,0.12002499739637575,0.65,0.1388794441233115,0.1217332000729464,29.196999999999996,10.880392685928205,9.537084685709779
case2_slippery_4x4,DQN,8000,5,0.493,0.21990338787749492,0.19275381812042008,0.493,0.21990338787749492,0.19275381812042008,0.46399999999999997,0.24432048624706032,0.2141563484933379,36.186,6.950046222867873,6.091984114030501
case2_slippery_4x4,DQN,10000,5,0.392,0.27974541998038144,0.2452076719843814,0.392,0.27974541998038144,0.2452076719843814,0.378,0.2930571616596326,0.25687592802752074,46.516999999999996,31.156891212057726,27.310219273348938
case2_slippery_4x4,DQN,12000,5,0.567,0.14767362662303649,0.12944164090430865,0.567,0.14767362662303649,0.12944164090430865,0.39699999999999996,0.17031588299392394,0.1492884536727472,33.842,6.837054921528713,5.992942871611575
case2_slippery_4x4,DQN,14000,5,0.476,0.22595353504647808,0.19805700593515996,0.476,0.22595353504647808,0.19805700593515996,0.487,0.2618348716271383,0.22950838416057917,31.937,10.240507555780622,8.97620063937967
case2_slippery_4x4,DQN,16000,5,0.55,0.13838352503098048,0.12129850782264388,0.55,0.13838352503098048,0.12129850782264388,0.40499999999999997,0.16911534525287764,0.14823613594532203,35.68000000000001,8.111810063111685,7.110315018900358
case2_slippery_4x4,DQN,18000,5,0.602,0.17711578134090705,0.15524882737077275,0.602,0.17711578134090705,0.15524882737077275,0.36300000000000004,0.20385656722313364,0.17868815965250748,36.439,7.895051773104466,6.920318000612398
case2_slippery_4x4,DQN,20000,5,0.596,0.16775726511838465,0.14704572622147166,0.596,0.16775726511838465,0.14704572622147166,0.354,0.2002311164629514,0.17551031194775993,38.025999999999996,6.658433937496113,5.836374675909695
case2_slippery_4x4,DQN,22000,5,0.6399999999999999,0.09987492177719087,0.08754422882177897,0.6399999999999999,0.09987492177719087,0.08754422882177897,0.29500000000000004,0.1078772450519571,0.09455857443933893,39.684,4.496331004274485,3.9412078957598773
