case,algo,timestep,n_seeds,avg_return_mean,avg_return_std,avg_return_ci95,success_rate_mean,success_rate_std,success_rate_ci95,hole_rate_mean,hole_rate_std,hole_rate_ci95,avg_episode_length_mean,avg_episode_length_std,avg_episode_length_ci95
case1_deterministic_4x4,DQN-Safe,2000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
case1_deterministic_4x4,DQN-Safe,4000,5,0.4,0.5477225575051662,0.480099989585503,0.4,0.5477225575051662,0.480099989585503,0.0,0.0,0.0,62.4,51.485920405485615,45.129399021037266
case1_deterministic_4x4,DQN-Safe,6000,5,0.4,0.5477225575051662,0.480099989585503,0.4,0.5477225575051662,0.480099989585503,0.0,0.0,0.0,62.4,51.485920405485615,45.129399021037266
case1_deterministic_4x4,DQN-Safe,8000,5,0.4,0.5477225575051662,0.480099989585503,0.4,0.5477225575051662,0.480099989585503,0.0,0.0,0.0,62.4,51.485920405485615,45.129399021037266
case1_deterministic_4x4,DQN-Safe,10000,5,0.6,0.5477225575051662,0.480099989585503,0.6,0.5477225575051662,0.480099989585503,0.0,0.0,0.0,43.6,51.485920405485615,45.129399021037266
case1_deterministic_4x4,DQN-Safe,12000,5,0.8,0.4472135954999579,0.39199999999999996,0.8,0.4472135954999579,0.39199999999999996,0.0,0.0,0.0,24.8,42.03807797699605,36.848
case1_deterministic_4x4,DQN-Safe,14000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,DQN-Safe,16000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,DQN-Safe,18000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,DQN-Safe,20000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,DQN-Safe,22000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,DQN-Safe,24000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,DQN-Safe,26000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,DQN-Safe,28000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,DQN-Safe,30000,5,0.8,0.44721359549995804,0.392,0.8,0.44721359549995804,0.392,0.0,0.0,0.0,24.8,42.03807797699606,36.848000000000006
case2_slippery_4x4,DQN-Safe,2000,5,0.175,0.12303454799364281,0.1078445362547403,0.175,0.12303454799364281,0.1078445362547403,0.6050000000000001,0.34680686267719674,0.30398961824378146,43.831,32.29810102776942,28.31053378136131
case2_slippery_4x4,DQN-Safe,4000,5,0.201,0.27727242920997397,0.24304000000000003,0.201,0.27727242920997397,0.24304000000000003,0.065,0.09287087810503356,0.08140491385659714,84.34,21.44338738399323,18.79595776852034
case2_slippery_4x4,DQN-Safe,6000,5,0.274,0.3772002120890178,0.3306305636204856,0.274,0.3772002120890178,0.3306305636204856,0.085,0.12114041439585718,0.10618425495335926,76.878,31.661789589345705,27.75278221394028
case2_slippery_4x4,DQN-Safe,8000,5,0.092,0.20571825392998064,0.18031999999999998,0.092,0.20571825392998064,0.18031999999999998,0.034999999999999996,0.07826237921249263,0.0686,92.62100000000001,16.49994560597095,14.462840000000002
case2_slippery_4x4,DQN-Safe,10000,5,0.22800000000000004,0.33329041390355046,0.2921419285210529,0.22800000000000004,0.33329041390355046,0.2921419285210529,0.08,0.10977249200050075,0.09621983163568724,80.63,27.713155495179542,24.291651826831373
case2_slippery_4x4,DQN-Safe,12000,5,0.35300000000000004,0.2341634044849878,0.20525327378631503,0.35300000000000004,0.2341634044849878,0.20525327378631503,0.27199999999999996,0.2712148594749189,0.23773030601923686,58.597,28.046107929621893,24.583497503292733
case2_slippery_4x4,DQN-Safe,14000,5,0.346,0.3361063819685666,0.294610233359264,0.346,0.3361063819685666,0.294610233359264,0.168,0.16987495401029545,0.14890196237793507,67.50399999999999,29.799016216982736,26.119989362126468
case2_slippery_4x4,DQN-Safe,16000,5,0.4779999999999999,0.30167449345279423,0.26442935237979914,0.4779999999999999,0.30167449345279423,0.26442935237979914,0.146,0.08271940522029883,0.07250675554732815,61.345000000000006,23.976443908553243,21.01627970778843
