case,algo,seed,timestep,success_rate,avg_return,hole_rate,avg_episode_length
case1_deterministic_4x4,DQN,0,2000,0.0,0.0,0.0,100.0
case1_deterministic_4x4,DQN,0,4000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN,0,6000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN,0,8000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN,0,10000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN,0,12000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN,0,14000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN,0,16000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN,0,18000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN,0,20000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN,0,22000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN,0,24000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN,0,26000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN,0,28000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN,0,30000,0.0,0.0,0.0,100.0
case1_deterministic_4x4,DQN,1,2000,0.0,0.0,0.0,100.0
case1_deterministic_4x4,DQN,1,4000,0.0,0.0,0.0,100.0
case1_deterministic_4x4,DQN,1,6000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN,1,8000,0.0,0.0,0.0,100.0
case1_deterministic_4x4,DQN,1,10000,0.0,0.0,0.0,100.0
case1_deterministic_4x4,DQN,1,12000,0.0,0.0,0.0,100.0
case1_deterministic_4x4,DQN,1,14000,0.0,0.0,0.0,100.0
case1_deterministic_4x4,DQN,1,16000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN,1,18000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN,1,20000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN,1,22000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN,1,24000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN,1,26000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN,1,28000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN,1,30000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN,2,2000,0.0,0.0,0.0,100.0
case1_deterministic_4x4,DQN,2,4000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN,2,6000,0.0,0.0,0.0,100.0
case1_deterministic_4x4,DQN,2,8000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN,2,10000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN,2,12000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN,2,14000,1.0,1.0,0.0,6.0
