case,algo,seed,timestep,eval_return_mean,eval_success_rate,eval_hole_rate,eval_episode_length_mean
case1_deterministic_4x4,DQN-Safe,0,2000,0.0,0.0,0.0,100.0
case1_deterministic_4x4,DQN-Safe,0,4000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN-Safe,0,6000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN-Safe,0,8000,0.0,0.0,0.0,100.0
case1_deterministic_4x4,DQN-Safe,0,10000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN-Safe,0,12000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN-Safe,0,14000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN-Safe,0,16000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN-Safe,0,18000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN-Safe,0,20000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN-Safe,0,22000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN-Safe,0,24000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN-Safe,0,26000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN-Safe,0,28000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN-Safe,0,30000,0.0,0.0,0.0,100.0
case1_deterministic_4x4,DQN-Safe,1,2000,0.0,0.0,0.0,100.0
case1_deterministic_4x4,DQN-Safe,1,4000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN-Safe,1,6000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN-Safe,1,8000,0.0,0.0,0.0,100.0
case1_deterministic_4x4,DQN-Safe,1,10000,0.0,0.0,0.0,100.0
case1_deterministic_4x4,DQN-Safe,1,12000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN-Safe,1,14000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN-Safe,1,16000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN-Safe,1,18000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN-Safe,1,20000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN-Safe,1,22000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN-Safe,1,24000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN-Safe,1,26000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN-Safe,1,28000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN-Safe,1,30000,1.0,1.0,0.0,6.0
case1_deterministic_4x4,DQN-Safe,2,2000,0.0,0.0,0.0,100.0
case1_deterministic_4x4,DQN-Safe,2,4000,0.0,0.0,0.0,100.0
case1_deterministic_4x4,DQN-Safe,2,6000,0.0,0.0,0.0,100.0
case1_deterministic_4x4,DQN-Safe,2,8000,1.0,1.0,0.0,6.0
